,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh,city,state,aqi,pm10,co,o3,so2,no2
164,la sarra,WRI1006594,24.0,42.7713,-0.3345,hydro,65.85803967728486,Huesca,Aragón,3.0,0.717964,346.72,5.1,0.0777654,17.9
165,la serena,WRI1006595,22.0,38.732,-5.5439,hydro,60.36986970417778,Badajoz,Extremadura,29.0,9.86365,337.958,63.1213,2.61515,3.97884
166,la zarzuela,WRI1006598,41.8,36.0139,-5.6069,wind,191.7677100000175,Cádiz,Andalucía,50.0,23.6388,383.85400000000004,19.4907,9.37283,24.0
167,lafortunada cinca 1,WRI1006599,41.40000000000001,42.5741,0.1824,hydro,113.6051184433164,Huesca,Aragón,16.0,0.5994189999999999,364.661,34.0,1.0,2.0
168,lafortunada cinqueta 1,WRI1006600,40.8,42.5741,0.1824,hydro,111.95866745138426,Huesca,Aragón,16.0,0.5994189999999999,364.661,34.0,1.0,2.0
169,lanchal,WRI1006601,21.25,40.6336,-4.4669,wind,97.48956549043952,Ávila,Castilla y León,25.0,19.0,600.0,32.5,2.0,14.0
170,lanuza 1,WRI1006603,52.69,42.7238,-0.2817,hydro,144.58583794150582,Huesca,Aragón,9.0,0.654924,359.654,19.55,1.0,9.95
171,las conchas grupo 1,WRI1006604,49.38,42.4075,-7.5316,hydro,135.5029166360136,Lugo,Galicia,29.0,11.0,165.0,61.8696,0.280328,31.0
172,las ondinas gr 1,WRI1006607,82.46000000000002,42.8206,-6.4875,hydro,226.27724799120458,León,Castilla y León,26.0,10.0,320.435,56.0,2.0,3.5183
173,las picadas grupo 1,WRI1006610,24.32,40.3236,-4.2032,hydro,66.73614687298199,Madrid,Comunidad de Madrid,76.0,39.0,700.0,2.94333,1.0,45.0
174,las salinas 12  diesel 9,WRI1006611,72.11,28.5004,-13.8627,oil,218.19950667188672,Las Palmas,Canarias,31.0,24.0,315.845,68.0,0.530854,1.04023
175,las salinas 8  gas 2,WRI1006615,51.25,28.5004,-13.8627,oil,155.07869528406871,Las Palmas,Canarias,31.0,24.0,315.845,68.0,0.530854,1.04023
176,las salinas 9 (gas movil 1),WRI1006617,11.74,28.5004,-13.8627,oil,35.524368441657884,Las Palmas,Canarias,31.0,24.0,315.845,68.0,0.530854,1.04023
177,las vinas,WRI1006619,38.0,41.6704,-3.6892,wind,174.33428181819775,Burgos,Castilla y León,28.0,6.0,500.0,60.1709,1.8198,4.09666
178,lerida,WRI1006620,11.93,41.6167,0.6167,hydro,32.736933889583675,Lleida,Catalunya,12.0,3.76975,100.0,21.3236,0.34133,1.0
179,les colladetes i,WRI1006621,36.63,40.8667,0.7167,wind,168.0490721842259,Tarragona,Catalunya,23.0,25.0,400.0,27.9397,0.317581,18.0
180,les forques,WRI1006622,30.0,41.4833,1.2333,wind,137.63232775120878,Tarragona,Catalunya,23.0,25.0,400.0,11.5,1.0,12.0
181,litoral de almeria gr 2,WRI1006625,1119.59,36.9783,-1.9054,coal,5773.6581140822755,Almería,Andalucía,24.0,12.6567,372.171,38.1321,1.21258,12.0
182,llavorsi cardos 1,WRI1006626,52.4,42.4951,1.211,hydro,143.79005329540527,Lleida,Catalunya,14.0,14.0,300.0,30.5,1.0,14.0
183,los barrios,WRI1006636,570.05,36.1828,-5.42,coal,2939.7134736221306,Cádiz,Andalucía,35.0,20.1976,361.741,26.9562,4.5225,24.0
184,los castrios,WRI1006639,26.4,38.15,-1.0167,wind,121.11644842106371,Alicante,Comunidad Valenciana,17.0,5.0,384.68800000000005,19.2225,5.0,9.17865
185,los guinchos 15   gas movil 2,WRI1006642,67.3,28.6538,-17.7867,oil,203.64480375839662,Santa Cruz de Tenerife,Canarias,21.0,6.52196,322.10400000000004,45.0,5.0,26.0
186,los llanos,WRI1006648,38.0,36.4469,-5.2858,wind,174.33428181819775,Málaga,Andalucía,27.0,17.1534,394.702,48.0115,0.8819620000000001,24.0
187,los peares grupo 2,WRI1006651,181.02,42.4637,-7.7237,hydro,496.73426426592107,Lugo,Galicia,29.0,11.0,165.0,61.8696,0.280328,31.0
188,la muela ii grupo 4,WRI1006587,877.95,39.2438,-0.9317,hydro,2409.169413944677,Valencia,Comunidad Valenciana,69.0,6.0,375.092,29.0,362.5,6.9188
